Exchange,Type,Total Visits,Country 1,Traffic Share 1,Country 2,Traffic Share 2,Country 3,Traffic Share 3,Country 4,Traffic Share 4,Country 5,Traffic Share 5
Binance,CEX,133.5M,Republic of Korea,7.46%,India,6.96%,Turkey,6.06%,Brazil,5.97%,Ukraine,4.95%
Coinbase,CEX,78.78M,United States,68.87%,United Kingdom,5.06%,Germany,2.41%,Canada,2.33%,France,2.16%
Upbit,CEX,22.37M,Republic of Korea,97.98%,Indonesia,0.35%,Australia,0.29%,United States,0.17%,Japan,0.11%
OKX,CEX,71.13M,United States,11.15%,Brazil,8.87%,Japan,8.60%,Vietnam,5.39%,Turkey,4.92%
Bybit,CEX,40.86M,Russia,32.61%,Republic of Korea,9.46%,Ukraine,6.77%,Japan,3.34%,Turkey,3.00%
Kraken,CEX,21.98M,United States,35.30%,United Kingdom,13.36%,Canada,5.84%,France,5.23%,Germany,5.14%
MEXC,CEX,89.97M,Algeria,47.27%,Morocco,6.71%,Republic of Korea,4.19%,India,3.81%,Japan,3.47%
Bitget,CEX,51.73M,United States,8.58%,India,7.23%,Republic of Korea,5.01%,Germany,3.54%,Russia,3.49%
Gate,CEX,46.16M,United States,10.73%,Republic of Korea,5.02%,Russia,4.45%,Singapore,3.61%,China,3.37%
HTX,CEX,7.62M,Russia,17.80%,Ukraine,9.42%,Brazil,6.72%,India,4.50%,Belarus,2.71%
Crypto.com,CEX,12.65M,United States,44.50%,United Kingdom,4.64%,Canada,4.53%,France,4.41%,Brazil,4.26%
Bitfinex,CEX,1.857M,Republic of Korea,8.17%,Taiwan,7.81%,South Africa,4.50%,Thailand,4.47%,United States,4.35%
Bithumb,CEX,16.27M,Republic of Korea,98.33%,Vietnam,0.21%,United States,0.18%,Indonesia,0.14%,Canada,0.10%
Gemini,CEX,8.169M,United States,51.26%,India,3.63%,United Kingdom,2.61%,Uruguay,1.84%,Republic of Korea,1.82%
Coindcx,CEX,4.764M,India,78.21%,United States,5.42%,Indonesia,1.20%,Canada,1.01%,United Kingdom,1.00%
Bitstamp,CEX,2.034M,United States,24.65%,New Zealand,9.59%,United Kingdom,3.96%,France,3.30%,South Africa,3.03%
Kucoin,CEX,53.24M,United States,9.55%,India,7.84%,Vietnam,6.06%,Singapore,4.60%,Azerbaijan,3.39%
BingX,CEX,34.47M,Brazil,9.17%,Argentina,9.06%,Ukraine,8.68%,Vietnam,8.01%,Australia,6.76%
BitMart,CEX,38.12M,United States,16.16%,China,5.72%,Philippines,4.64%,Taiwan,4.11%,Turkey,3.74%
LBank,CEX,37.96M,Azerbaijan,7.52%,Philippines,7.47%,China,4.47%,Singapore,4.36%,United States,3.97%
Bullish,CEX,"273,762",United States,10.73%,India,5.66%,Nigeria,5.38%,Republic of Korea,5.17%,Canada,4.61%
Phemex,CEX,31.51M,Russia,20.28%,Republic of Korea,9.38%,Germany,6.18%,United Kingdom,5.59%,Turkey,5.27%
Bitvavo,CEX,9.898M,Netherlands,70.16%,Germany,8.45%,Belgium,5.55%,Spain,2.78%,France,2.64%